dsld_id,brand,product_name,package_size,servings_per_container,form_factor,current_upc,status,verdict,supplement_type,sibling_count,dsld_label_url
276002,CVS Health,Adult 50+ Eye Health,90 Softgel,90,capsule,,discontinued,SAFE,multivitamin,1,https://dsld.od.nih.gov/label/276002
272474,CVS Health,Calcium & Vitamin D3 Gummies,60 Gummy,30,gummy,,discontinued,SAFE,targeted,1,https://dsld.od.nih.gov/label/272474
278525,CVS Health,Calcium 600 mg & Vitamin D3,120 Tablet,120,tablet,,active,CAUTION,specialty,1,https://dsld.od.nih.gov/label/278525
278524,CVS Health,Calcium Citrate 630 mg + D3 500 IU,120 Coated Tablet,60,tablet,,active,CAUTION,specialty,1,https://dsld.od.nih.gov/label/278524
210396,CVS Health,"Calcium, Magnesium & Zinc",100 Caplet,33,other (e.g. tea bag),,active,CAUTION,targeted,1,https://dsld.od.nih.gov/label/210396
211014,CVS Health,Children's Gummy Dinos,70 Gummy,95,gummy,,discontinued,SAFE,specialty,1,https://dsld.od.nih.gov/label/211014
278527,CVS Health,Children's Organic Daily Multivitamin Gummies,90 Gummy,45,gummy,,active,SAFE,specialty,1,https://dsld.od.nih.gov/label/278527
276003,CVS Health,Digestive Probiotic,28 One-a-day Vegetable Capsule,28,capsule,,active,CAUTION,probiotic,1,https://dsld.od.nih.gov/label/276003
211031,CVS Health,Eye Health & Lutein,120 Tablet,,tablet,,active,CAUTION,multivitamin,1,https://dsld.od.nih.gov/label/211031
76540,CVS Health,Fiber Formula,112 Capsule,14,capsule,,active,POOR,targeted,1,https://dsld.od.nih.gov/label/76540
239657,CVS Health,Glucosamine Sulfate 2000 mg,150 Capsule,,capsule,,active,SAFE,single_nutrient,1,https://dsld.od.nih.gov/label/239657
76542,CVS Health,Intestinal Formula,35 Tablet,11,tablet,,active,POOR,herbal_blend,1,https://dsld.od.nih.gov/label/76542
76539,CVS Health,Liver Formula,28 Capsule,14,capsule,,active,SAFE,herbal_blend,1,https://dsld.od.nih.gov/label/76539
278549,CVS Health,Men's Daily Multivitamin,120 Tablet,120,tablet,,discontinued,CAUTION,multivitamin,1,https://dsld.od.nih.gov/label/278549
210949,CVS Health,One Daily Men's 50+ Advanced,65 Tablet,,tablet,,active,CAUTION,multivitamin,1,https://dsld.od.nih.gov/label/210949
