dsld_id,brand_name,product_name,module,dimension,gross_positive_credit,dimension_cap,positive_headroom,penalties,total_penalty_amount,absorbed_amount,current_dimension_score,alternative_dimension_score,penalty_policy_class,absorption_attribution,current_raw_score,alternative_raw_score,current_final_score,alternative_final_score,public_score_delta,current_tier,alternative_tier,tier_movement,source_file
259304,Nature's Way,Barley Grass,fiber_digestive,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,54.7,53.7,57.6,56.1,-1.5,Weak,Weak,none,scripts/products/output_Natures_Way_scored/scored/scored_cleaned_batch_1.json
259306,Nature's Way,Barley Grass Powder,fiber_digestive,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,60.2,59.2,62.4,60.9,-1.5,Weak,Weak,none,scripts/products/output_Natures_Way_scored/scored/scored_cleaned_batch_1.json
241688,HUM,Glow Sweet Glow Tangerine,generic,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,69.2,68.2,75.1,73.6,-1.5,Acceptable,Acceptable,none,scripts/products/output_Hum_scored/scored/scored_cleaned_batch_1.json
241692,HUM,Hair Sweet Hair Berry,generic,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,65.5,64.5,72.1,70.6,-1.5,Acceptable,Acceptable,none,scripts/products/output_Hum_scored/scored/scored_cleaned_batch_1.json
242865,Nature's Way,Sambucus Original Syrup for Kids,generic,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,52.6,51.6,58.2,56.7,-1.5,Weak,Weak,none,scripts/products/output_Natures_Way_scored/scored/scored_cleaned_batch_1.json
249719,Nature's Way,Sambucus for Kids HoneyBerry Cough Syrup,generic,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,60.5,59.5,65.7,64.2,-1.5,Weak,Weak,none,scripts/products/output_Natures_Way_scored/scored/scored_cleaned_batch_1.json
180229,Nature Made,Fish Oil 1000 mg,omega,transparency,15.6,15.0,0.6,"[{""absorbed_amount"":null,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""b2_false_allergen_free_claim""},{""absorbed_amount"":null,""amount"":1.6,""policy_class"":""potentially_absorbable_soft_debt"",""type"":""b5_proprietary_blend_opacity""}]",3.6,0.6,12.0,11.4,contains_never_absorbable_material_defect,shared_headroom_not_uniquely_attributable,81.0,80.4,85.9,85.3,-0.6,Strong,Strong,none,scripts/products/output_Nature_Made_scored/scored/scored_cleaned_batch_1.json
180403,Nature Made,Fish Oil 1000 mg,omega,transparency,15.6,15.0,0.6,"[{""absorbed_amount"":null,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""b2_false_allergen_free_claim""},{""absorbed_amount"":null,""amount"":1.6,""policy_class"":""potentially_absorbable_soft_debt"",""type"":""b5_proprietary_blend_opacity""}]",3.6,0.6,12.0,11.4,contains_never_absorbable_material_defect,shared_headroom_not_uniquely_attributable,81.0,80.4,85.9,85.3,-0.6,Strong,Strong,none,scripts/products/output_Nature_Made_scored/scored/scored_cleaned_batch_1.json
180426,Nature Made,Fish Oil 1000 mg,omega,transparency,15.6,15.0,0.6,"[{""absorbed_amount"":null,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""b2_false_allergen_free_claim""},{""absorbed_amount"":null,""amount"":1.6,""policy_class"":""potentially_absorbable_soft_debt"",""type"":""b5_proprietary_blend_opacity""}]",3.6,0.6,12.0,11.4,contains_never_absorbable_material_defect,shared_headroom_not_uniquely_attributable,81.0,80.4,85.9,85.3,-0.6,Strong,Strong,none,scripts/products/output_Nature_Made_scored/scored/scored_cleaned_batch_1.json
218854,Solgar,Whey To Go Whey Protein Powder Vanilla,sports,transparency,11.0,10.0,1.0,"[{""absorbed_amount"":1.0,""amount"":2.0,""policy_class"":""never_absorbable_material_defect"",""type"":""B2_false_allergen_free_claim""}]",2.0,1.0,9.0,8.0,contains_never_absorbable_material_defect,single_penalty_exact,80.7,79.7,80.0,78.5,-1.5,Strong,Acceptable,Strong -> Acceptable,scripts/products/output_Solgar_scored/scored/scored_cleaned_batch_1.json
269621,Doctor's Best,Digestive Probiotic 20 Billion,probiotic,transparency,16.0,15.0,1.0,"[{""absorbed_amount"":1.0,""amount"":1.6,""policy_class"":""potentially_absorbable_soft_debt"",""type"":""B5_proprietary_blend_opacity""}]",1.6,1.0,14.4,13.4,potentially_absorbable_soft_debt,single_penalty_exact,61.6,60.6,70.0,69.0,-1.0,Acceptable,Weak,Acceptable -> Weak,scripts/products/output_Doctors_Best_scored/scored/scored_cleaned_batch_1.json
63960,Doctor's Best,Fast Melt Immune Probiotic 3 Billion With Bifodan,probiotic,transparency,19.0,15.0,4.0,"[{""absorbed_amount"":1.3,""amount"":1.3,""policy_class"":""potentially_absorbable_soft_debt"",""type"":""B5_proprietary_blend_opacity""}]",1.3,1.3,15.0,13.7,potentially_absorbable_soft_debt,single_penalty_exact,63.4,62.1,70.6,69.3,-1.3,Acceptable,Weak,Acceptable -> Weak,scripts/products/output_Doctors_Best_scored/scored/scored_cleaned_batch_1.json
