bucket,review_key,product_count,max_priority_score,closest_tier_boundary,identity_confidence_counts,sample_dsld_ids
external_literature_review_required,l carnitine,75,37.5,0.0,"{""high"":75}","[""4258"",""12147"",""25160"",""27461"",""42240"",""58935"",""60214"",""65944"",""66890"",""69300""]"
external_literature_review_required,isoleucine,59,29.5,0.0,"{""high"":59}","[""2719"",""59952"",""65755"",""66893"",""74587"",""74828"",""78476"",""252404"",""252409"",""252414""]"
external_literature_review_required,glutamine,53,26.5,0.0,"{""high"":51,""low"":2}","[""2711"",""2724"",""4846"",""5888"",""12129"",""45110"",""66886"",""69303"",""69466"",""74468""]"
external_literature_review_required,l lysine,43,21.5,0.0,"{""high"":43}","[""35623"",""43973"",""59923"",""60223"",""63848"",""63850"",""64538"",""65633"",""65634"",""72361""]"
external_literature_review_required,cla,61,21.35,0.0,"{""moderate"":61}","[""4259"",""5812"",""26318"",""45103"",""65945"",""66895"",""69546"",""70326"",""72871"",""74369""]"
external_literature_review_required,ginkgo,42,21.0,0.0,"{""high"":41,""moderate"":1}","[""700"",""701"",""856"",""15699"",""17310"",""18221"",""26136"",""29233"",""31994"",""59204""]"
evidence_exists_identity_or_linkage_failed,PRECLIN_ALCAR,26,19.5,3.0,"{""high"":25,""moderate"":1}","[""59032"",""59709"",""64800"",""79380"",""212977"",""213912"",""227837"",""252601"",""253517"",""253523""]"
external_literature_review_required,garcinia,38,19.0,1.0,"{""high"":38}","[""77076"",""81571"",""182872"",""232012"",""242232"",""252413"",""252415"",""252418"",""253273"",""253275""]"
external_literature_review_required,arginine,37,18.5,0.0,"{""high"":33,""moderate"":4}","[""2720"",""2721"",""5880"",""26577"",""33554"",""44591"",""61960"",""63262"",""63792"",""69292""]"
external_literature_review_required,l tyrosine,37,18.5,0.0,"{""high"":37}","[""1380"",""1440"",""73711"",""74439"",""74786"",""215038"",""224760"",""227880"",""252680"",""252845""]"
external_literature_review_required,maca,36,18.0,0.0,"{""high"":30,""moderate"":6}","[""18345"",""74549"",""74628"",""74629"",""82383"",""239079"",""241818"",""252573"",""253800"",""253809""]"
